Filename,IonIndex,X,Y,X_rot,Y_rot,Kink,Predicted,Zigzag,DefectType
image14_5.tif,12,875.0,85.60774031168705,-44.9727283246909,20.987725465621732,False,False,B,
image14_5.tif,13,919.0,126.86404293827783,-1.265535101022679,-20.57865237664126,False,False,B,
image14_5.tif,14,963.0,97.59690025452184,42.940301355856896,8.376652215418343,False,False,B,
image14_5.tif,15,1006.0,101.1548830896932,85.91406940241873,4.514722421173658,False,False,A,normal_defect
image14_5.tif,16,1050.0,113.60243058648044,129.82495787579438,-8.243620424334896,False,False,A,
image14_5.tif,17,1096.0,96.92300394699588,175.94174160486872,8.110141574291957,False,False,A,
image14_5.tif,18,1142.0,112.9970535063449,221.8269385304506,-8.288753886591342,False,False,A,
image14_5.tif,19,1193.0,97.37484131760353,272.93612213151533,6.972467077103394,False,False,A,
image14_5.tif,20,1241.0,111.08096338321256,320.8380117365921,-7.072701285732749,False,False,A,
image14_5.tif,21,1296.0,99.1166689018288,375.92123166829185,4.502410998528752,False,False,A,
image14_5.tif,22,1358.0,104.74089115736476,437.8799152143031,-1.560048009572679,True,False,,
image14_5.tif,23,1430.0,102.03457562924952,509.89725070955444,0.6371165045505065,True,False,,
image14_5.tif,24,1506.9999999999998,101.72121571200734,586.8975415823037,0.4060322131611712,True,False,,
image14_5.tif,25,1602.0,100.764188859296,681.9019336215816,0.6913279264435893,True,False,,
image14_6.tif,1,242.0,109.56168069075368,-678.3661098894299,-1.5790411581450758,True,False,,
image14_6.tif,2,336.0,109.85225237016404,-584.3706078822755,-0.6146582860884063,True,False,,
image14_6.tif,3,412.0000000000001,110.27925765162104,-508.3756214053243,0.3571255779455114,True,False,,
image14_6.tif,4,482.00000000000006,107.058680998349,-438.35433387177085,-2.361588478926398,False,False,A,
image14_6.tif,5,543.0,114.19158674782356,-377.4070318040263,5.208399307985096,False,False,A,
image14_6.tif,6,598.0,101.9029838228281,-322.3203566993651,-6.685632294533107,False,False,A,
image14_6.tif,7,646.0,116.17904784052108,-274.42392481369404,7.934142548416474,False,False,A,
image14_6.tif,8,697.0,100.85980886587082,-223.3154224804488,-7.019120373605284,False,False,A,
image14_6.tif,9,741.0,115.22027024111893,-179.4194928090719,7.656376524132996,False,False,A,
image14_6.tif,10,789.0,99.98149834584164,-131.31149020924713,-7.237926236706281,False,False,A,
image14_6.tif,11,831.0,114.96902596990856,-89.42000414162625,8.050284231772215,False,False,A,
image14_6.tif,12,876.0,98.9157551029908,-44.30608590475825,-7.680001425005221,False,False,A,
image14_6.tif,13,919.0,114.94503481528182,-1.4220931040188358,8.657102650105339,False,False,A,
image14_6.tif,14,967.0,98.14369577685316,46.69711042022797,-7.799727107668176,False,False,A,
image14_6.tif,15,1008.0,113.9094493828263,87.58304363578262,8.259521064567657,False,False,A,
image14_6.tif,16,1051.0,97.36072206183,130.70056482997344,-7.9805448839805155,False,False,A,
image14_6.tif,17,1098.0,113.33672530371484,177.58483676166213,8.331957223917692,False,False,A,
image14_6.tif,18,1144.0,97.18135417495202,223.6994611896875,-7.493257787899033,False,False,A,
image14_6.tif,19,1192.0,111.68337445909266,271.59427335676,7.352467516122507,False,False,A,
image14_6.tif,20,1241.0,97.37959520513472,320.6955479716955,-6.599698342075055,False,False,A,
image14_6.tif,21,1296.0,108.44774992286682,375.61479521365885,4.862427605224403,False,False,A,
image14_6.tif,22,1359.0,100.61332584487204,438.66933596135203,-2.5201933203925453,False,False,A,
image14_6.tif,23,1430.0,103.13409241487612,509.6494422259764,0.5094566202922651,True,False,,
image14_6.tif,24,1508.0,101.3391337218072,587.6603049858902,-0.7263298352513323,True,False,,
image14_6.tif,25,1602.9999999999998,100.50291379054384,682.6638584623901,-0.8815413402058285,True,False,,
image14_7.tif,1,242.0000000000001,110.5553192332592,-678.6108586556286,-0.7761999479719018,True,False,,
image14_7.tif,2,335.0,109.98233510972852,-585.6091200201691,-0.7060459210446907,True,False,,
image14_7.tif,3,413.0,110.59106668647392,-507.6151946566619,0.4420658000851488,True,False,,
image14_7.tif,4,482.0,107.12017603762504,-438.59284221380045,-2.551585006151714,False,False,A,
image14_7.tif,5,544.0,114.1873159904713,-376.64319621195114,4.944135596877468,False,False,A,
image14_7.tif,6,600.0,102.43467592633064,-320.5632620052022,-6.420965715647313,False,False,A,
image14_7.tif,7,647.0,115.84150765970077,-273.65709831324733,7.310565329011538,False,False,A,
image14_7.tif,8,696.0,100.82631766161244,-224.55443516295477,-7.36541512299224,False,False,A,
image14_7.tif,9,740.0,115.91730719032734,-180.65984622220293,8.029487496972843,False,False,A,
image14_7.tif,10,789.0,99.72699684755808,-131.5490567426082,-7.821585201305701,False,False,A,
image14_7.tif,11,831.0,115.771270034707,-89.66101223804907,8.512747649715118,False,False,A,
image14_7.tif,12,879.0,99.07149067904317,-41.546675707811374,-7.854697196163875,False,False,A,
image14_7.tif,13,919.0,114.8988684843072,-1.6570834808271526,8.24891482584797,False,False,A,
image14_7.tif,14,964.0,98.77503380880832,43.45334194283052,-7.563345061323123,False,False,A,
image14_7.tif,15,1007.0,114.314487874691,86.34485352038328,8.273096055870313,False,False,A,
image14_7.tif,16,1053.0,98.08126268702992,132.45601150298447,-7.641636411152449,False,False,A,
image14_7.tif,17,1098.0,113.34202503675704,177.34940249982986,7.929950287036306,False,False,A,
image14_7.tif,18,1144.0,97.86612373035804,223.45532334797468,-7.227476407162462,False,False,A,
image14_7.tif,19,1193.0,112.0688362766062,272.35593544990513,7.313747053326839,False,False,A,
image14_7.tif,20,1241.0,97.48275239282118,320.4556551066228,-6.9400528614321,False,False,A,
image14_7.tif,21,1297.0,109.09197888769629,376.37403460824606,5.056153777408148,False,False,A,
image14_7.tif,22,1360.0,101.15364130360685,439.4274243278748,-2.4463290425378466,False,False,A,
image14_7.tif,23,1430.0,103.91389558842432,509.40666251925035,0.7979314081001816,True,False,,
image14_7.tif,24,1508.0,101.79924896997362,587.4194209053741,-0.777269947029981,True,False,,
image14_7.tif,25,1603.0,101.15335695157358,682.4216158998378,-0.7661914383363406,True,False,,
image14_8.tif,1,243.0000000000001,109.71214810013832,-677.8510171987364,-0.863880006429632,True,False,,
image14_8.tif,2,335.0,109.28490750671644,-585.8503064235198,-0.6363907108468329,True,False,,
image14_8.tif,3,413.00000000000006,109.76940375449696,-507.8557295164854,0.40318117546449805,True,False,,
image14_8.tif,4,482.0,106.34680133170107,-438.83311979210964,-2.528295275240043,False,False,A,
image14_8.tif,5,544.0,112.99803720844584,-376.88202339634256,4.563995895494053,False,False,A,
